KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;72.60;7260000;11;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Kompleks uslug;1;3,4;-;06.2014г.;07.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;60.20;6022020;12;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000132-0033769-02;Kompleks uslug;1;16107,32;161,07315 / 4832,1945;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;60.20;6022020;13;Okazanie avtotransportnyh uslug v 2015 godu;10 avtomobilej D klassa, 2 avtomobilja biznes klassa, 9 avtomobilej srednego klassa  v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000078-0033769-01;Kompleks uslug;1;46591;465,91 / 13977,3;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;14;Okazanie uslug po jekspluatacii inzhenernyh sistem ;Okazanie uslug po jekspluatacii inzhenernyh sistem v 2015 godu;Kompleks uslug;1;9500,9;95,009 / 2850,27;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;15;Okazanie uslug po uborke pomeshhenij v 2015 godu;Okazanie uslug po uborke pomeshhenij v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000128-0033769-01;Kompleks uslug;1;14374;143,74 / 4312,2;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;16;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;97,36;-;07.2014г.;08.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;29.22.9;9460000;17;Okazanie uslug po obsluzhivaniju liftov v 2015 godu;Okazanie uslug po obsluzhivaniju liftov v 2015 godu  v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000156-0033769-01;Kompleks uslug;1;1500;15 / 450;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;18;Okazanie uslug po tehnicheskomu obsluzhivaniju avtomaticheskih ustanovok vodjanogo pozharotushenija, gazovogo pozharotushenija, dymoudalenija administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2015 godu;Okazanie uslug po tehnicheskomu obsluzhivaniju avtomaticheskih ustanovok vodjanogo pozharotushenija, gazovogo pozharotushenija, dymoudalenija administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2015 godu;Kompleks uslug;1;998,33;9,98331 / 299,4993;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;19;Okazanie uslug po obrashheniju s othodami;Okazanie uslug po obrashheniju s othodami;Kompleks uslug;1;100;-;07.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.60;7260000;20;Okazanie uslug po predostavleniju obshhestvenno-politicheskih i finansovo-jekonomicheskih novostej, a takzhe dostupov k jelektronnym arhivam periodicheskih pechatnyh izdanij informacionnyh agentstv s nalichiem nastrojki avtomaticheskogo monitoringa i analiza tekstovoj informacii v 2015 godu;Okazanie uslug po predostavleniju obshhestvenno-politicheskih i finansovo-jekonomicheskih novostej, a takzhe dostupov k jelektronnym arhivam periodicheskih pechatnyh izdanij informacionnyh agentstv s nalichiem nastrojki avtomaticheskogo monitoringa i analiza tekstovoj informacii v 2015 godu ;Kompleks uslug;1;1089,36;10,8936 / 326,808;12.2014г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;37217;9414020;21;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic v 2015 godu;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic v 2015 godu v ob#eme, predusmotrennom gosudarstvennym kontraktom OHO-410/13;Kompleks uslug;1;3800;38 / 1140;12.2014г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;74.60;7492000;22;Okazanie uslug po ohrane administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2015 godu;Okazanie uslug po ohrane administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2015 godu;Kompleks uslug;1;8000;80 / 2400;12.2014г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;72.50;7250000;23;Okazanie uslug po obsluzhivaniju sistemy IP-telefonii;Okazanie uslug po obsluzhivaniju sistemy IP-telefonii;Kompleks uslug;1;700;7 / 210;07.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.60;7260000;24;Modernizacija sajta Ministerstva;Modernizacija sajta Ministerstva;Kompleks uslug;1;1600;16 / 480;07.2014г.;08.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;25;Postavka sredstv vychislitel'noj tehniki;4 servera;Komplekt;1;3000;30 / 900;07.2014г.;08.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.20;7220000;26;Zakupka licenzij dlja obespechenija kompleksnoj antivirusnoj bezopasnosti programmno-apparatnogo kompleksa Ministerstva transporta Rossijskoj Federacii;Zakupka licenzij dlja obespechenija kompleksnoj antivirusnoj bezopasnosti programmno-apparatnogo kompleksa Ministerstva transporta Rossijskoj Federacii;Komplekt;1;1563,82;15,6381666666667 / 469,145000000001;07.2014г.;09.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;27;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;3000;30 / 900;06.2014г.;08.2014г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;30.01.;3000000;28;Postavka zapasnyh chastej dlja orgtehniki;Postavka original'nyh zapasnyh chastej dlja orgtehniki;Komplekt;1;600;6 / 180;07.2014г.;09.2014г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040248001924E+018;45.21.10;4529000;29;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;2317,97;23,1797 / 695,391;07.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;30;Vypolnenie rabot remontu zdanij;Remont krovli v zdanii po adresu: ul. Rozhdestvenka, d. 1, str. 1;Kompleks rabot;1;14958;149,58 / 4487,4;07.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;31;Vypolnenie rabot remontu zdanij;Protivopozharnye meroprijatija;Kompleks rabot;1;9600;96 / 2880;07.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;32;Vypolnenie rabot po ustanovke priborov ucheta jelektrojenergii;Vypolnenie rabot po ustanovke priborov ucheta jelektrojenergii;Kompleks rabot;1;194,34;0 / 19,434;07.2014г.;10.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;33;Vypolnenie rabot po tekushhemu remontu sistemy ohlazhdenija;Vypolnenie rabot po tekushhemu remontu sistemy ohlazhdenija;Kompleks rabot;1;455,85;4,5585255 / 136,755765;08.2014г.;08.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;22.13;5200180;34;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2014 goda ;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2014 goda ;Kompleks uslug;1;493,98;4,9398 / 148,194;06.2014г.;12.2014г.;Zapros kotirovok;-
1,03040824800192E+019;22.13;5200180;35;Podpiska i dostavka periodicheskih izdanij na pervoe polugodie 2015 goda ;na podpisku i dostavku periodicheskih izdanij na vtoroe polugodie 2015 goda ;Kompleks uslug;1;419,22;4,1922 / 125,766;12.2014г.;06.2015г.;Zapros kotirovok;-
1,03040824800192E+019;45.21.10;4529000;36;Ustanovka sistemy videonabljudenija i kontrolja dostupa;Ustanovka sistemy videonabljudenija i kontrolja dostupa;Kompleks rabot;1;7376,8;73,768 / 2213,04;08.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;92.51;9231020;37;Uslugi po jekspertize cennosti arhivnyh dokumentov;Uslugi po jekspertize cennosti arhivnyh dokumentov;Kompleks uslug;1;437;4,37 / 131,1;08.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;37217;9414020;38;Okazanie uslug po organizacii jekspozicii Mintransa Rossii na 31-j Mezhdunarodnoj vystavke transporta i logistiki «SITL», prohodjashhej 1-4 aprelja 2014 goda v g. Parizh (Francija) ;Okazanie uslug po organizacii jekspozicii Mintransa Rossii na 31-j Mezhdunarodnoj vystavke transporta i logistiki «SITL», prohodjashhej 1-4 aprelja 2014 goda v g. Parizh (Francija) ;Kompleks uslug;1;10000;100 / 3000;02.2014г.;12.2014г.;Otkrytyj konkurs;-
1,03040824800192E+019;37217;9414020;39;Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnoj vystavke transporta i logistiki «Transport Logistik Chajna-2014», prohodjashhej 17-19 ijunja 2014 goda v g. Shanhaj (Kitaj);Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnoj vystavke transporta i logistiki «Transport Logistik Chajna-2014», prohodjashhej 17-19 ijunja 2014 goda v g. Shanhaj (Kitaj);Kompleks uslug;1;10000;100 / 3000;05.2014г.;12.2014г.;Otkrytyj konkurs;-
1,03040824800192E+019;55.5;5520010;40;Organizacija pitanija inostrannyh delegacij;Organizacija pitanija inostrannyh delegacij;Kompleks uslug;1;100;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;41;Priobretenie nagrad;Priobretenie nagrad;Komplekt;1;1900;19 / 570;08.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;42;Priobretenie klimaticheskogo oborudovanija;Priobretenie klimaticheskogo oborudovanija;Komplekt;1;54,1;-;07.2014г.;08.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;43;Priobretenie kovroderzhatelej;Priobretenie kovroderzhatelej;Komplekt;1;291,57;2,9157 / 87,471;07.2014г.;08.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;44;Priobretenie orgtehniki;Priobretenie orgtehniki;Komplekt;1;99,78;-;07.2014г.;07.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;17.54.3;1721780;45;Priobretenie osnovnyh sredst;Priobretenie osnovnyh sredst;Komplekt;1;18,68;-;07.2014г.;08.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;46;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;962,74;9,6274 / 288,822;08.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;47;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;494,82;4,9482 / 148,446;07.2014г.;09.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;48;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;64,2;-;07.2014г.;08.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;49;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;168,8;1,688 / 50,64;07.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;50;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;20;-;06.2014г.;07.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;51;Priobretenie pit'evoj vody;Priobretenie pit'evoj vody;Komplekt;1;99,87;-;06.2014г.;11.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;52;Priobretenie pit'evoj vody;Priobretenie pit'evoj vody;Komplekt;1;99,87;-;11.2014г.;05.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;42359;2109311;53;Priobretenie bumagi;Priobretenie bumagi;Komplekt;1;1557,6;15,576 / 467,28;08.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
103040824Б2064244226;74.84;9214020;54; Okazanie uslug po provedeniju meroprijatij Ministerstva transporta Rossijskoj Federacii v ramkah «Transportnoj nedeli – 2014»; Okazanie uslug po provedeniju meroprijatij Ministerstva transporta Rossijskoj Federacii v ramkah «Transportnoj nedeli – 2014»;Kompleks uslug;1;18000;180 / 5400;08.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
103040824Б2064244226;74.84;9214020;55;Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnom transportnom forume, prohodjashhem 21 - 23 maja 2014 g. v g. Lejpcig (Germanija);Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnom transportnom forume, prohodjashhem 21 - 23 maja 2014 g. v g. Lejpcig (Germanija);Kompleks uslug;1;5651,3;56,513 / 1695,39;03.2014г.;12.2014г.;Otkrytyj konkurs;-
103040824Б2064244226;74.84;9214020;56;"Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na vystavke ""Innotrans-2014"", prohodjashhej 23-26 sentjabrja 2014 goda v g.Berlin (Germanija)";"Okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na vystavke ""Innotrans-2014"", prohodjashhej 23-26 sentjabrja 2014 goda v g.Berlin (Germanija)";Kompleks uslug;1;8000;80 / 2400;08.2014г.;11.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
103040824Б2064244226;37217;9414020;57;Okazanie uslug po podgotovke i razmeshheniju informacionno-analiticheskih materialov po informirovaniju naselenija Rossijskoj Federacii, organov gosudarstvennoj vlasti, transportnyh organizacij o hode i rezul'tatah vypolnenija Federal'noj celevoj programmy «Razvitie transportnoj sistemy Rossii (2010 – 2015 gody)» v special'nom prilozhenii k periodicheskomu pechatnomu sredstvu massovoj informacii;Okazanie uslug po podgotovke i razmeshheniju informacionno-analiticheskih materialov po informirovaniju naselenija Rossijskoj Federacii, organov gosudarstvennoj vlasti, transportnyh organizacij o hode i rezul'tatah vypolnenija Federal'noj celevoj programmy «Razvitie transportnoj sistemy Rossii (2010 – 2015 gody)» v special'nom prilozhenii k periodicheskomu pechatnomu sredstvu massovoj informacii;Kompleks uslug;1;5000;50 / 1500;06.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
103040824Б2064244310;45.21.1;4520080;58;Rekonstruktivnye raboty v zdanii po adresu: ul. Rozhdestvenka, d. 1, str. 1;Rekonstruktivnye raboty v zdanii po adresu: ul. Rozhdestvenka, d. 1, str. 1;Kompleks uslug;1;49999,06;499,9906 / 14999,718;09.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03070524820402E+019;80.30.3;8040020;59;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;134,4;1,344 / 40,32;05.2014г.;06.2014г.;Zapros kotirovok;-
1,03070524820402E+019;80.30.3;8040020;60;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;471,3;4,713 / 141,39;06.2014г.;12.2014г.;Zapros kotirovok;-
1,03040824800192E+019;74.60;7492070;61;Vypolnenie rabot po obsledovaniju ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Vypolnenie rabot po obsledovaniju ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Kompleks uslug;1;562,48;5,6248 / 168,744;06.2014г.;08.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;74.60;7492070;62;Vypolnenie rabot po kompleksnoj podgotovke i attestacii ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Vypolnenie rabot po kompleksnoj podgotovke i attestacii ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Kompleks uslug;1;757,52;7,5752 / 227,256;08.2014г.;10.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;63;Postavka oborudovanija dlja sozdanija servernoj infrastruktury;2 kommutatora;Komplekt;1;2505,66;25,056607 / 751,69821;07.2014г.;08.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;64;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;1862,91;18,6291 / 558,873;07.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+039;45.33;2919020;65;Priobretenie klimaticheskogo oborudovanija;Priobretenie klimaticheskogo oborudovanija;Komplekt;1;510,88;5,10877 / 153,2631;08.2014г.;09.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.1;3610000;66;Priobretenie mebeli ;Dlja pomeshhenij raspolozhennyh po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1 ;Komplekt;1;4852,24;48,5224092 / 1455,672276;08.2014г.;09.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;67;Priobretenie sredstv vychislitel'noj tehniki;7 planshetov;Komplekt;1;144,03;0 / 14,402967;08.2014г.;09.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;28.75.27;3690000;68;Priobretenie ofisnyh tablichek;Priobretenie ofisnyh tablichek;Komplekt;1;99,32;-;08.2014г.;09.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;25.24.2;2500000;69;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;44,75;-;08.2014г.;09.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;70;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;21,08;-;09.2014г.;09.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;71;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;99,26;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;72;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;282,85;2,8285 / 84,855;09.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.60;7260000;73;Zakupka PO ViPNet Klient (KS1);Zakupka PO ViPNet Klient (KS1);Komplekt;1;43,73;-;09.2014г.;09.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;74;Tekushhij remont liftov;Tekushhij remont liftov;Kompleks rabot;1;1232,12;12,3212 / 369,636;09.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;75;Okazanie uslug po tehnicheskomu obsluzhivaniju avtomaticheskih ustanovok vodjanogo pozharotushenija, gazovogo pozharotushenija, dymoudalenija administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2014 godu;Okazanie uslug po tehnicheskomu obsluzhivaniju avtomaticheskih ustanovok vodjanogo pozharotushenija, gazovogo pozharotushenija, dymoudalenija administrativnogo zdanija Ministerstva transporta Rossijskoj Federacii v 2014 godu;Kompleks uslug;1;268,04;2,68044 / 80,4132;09.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
