КБК;ОКВЭД; ОКДП;Условия контракта: № заказа (№лота);Условия контракта: Наименование предмета контракта;Условия контракта:Минимально необходимые требования, предъявляемые к предмету контракта ;Условия контракта: Единица измерения;Условия контракта: Количество (объем);Условия контракта: Начальная (максимальная) цена контракта (в тыс. рублей);Условия контракта: Размер обеспечения заявки (в тыс. рублей) / размер обеспечения исполнения контракта (в тыс. рублей);График осуществления процедур закупки: срок размещения заказа (мес., год);График осуществления процедур закупки: срок исполнения контракта (мес., год);Способ размещения заказа;Обоснование внесения изменений
10304082480019200000;37217;9414020;21;Оказание услуг по публикации в печатном издании нормативно-правовых актов Министерства транспорта Российской Федерации, требующих оперативного доведения до сведения заинтересованных лиц в 2015 году;Оказание услуг по публикации в печатном издании нормативно-правовых актов Министерства транспорта Российской Федерации, требующих оперативного доведения до сведения заинтересованных лиц в 2015 году в объеме, предусмотренном государственным контрактом ОХО-410/13;Комплекс услуг;1;3 800,00;38 / 1140;12.2014г.;12.2015г.;Открытый конкурс;-
10304082480019200000;74.60;7492000;22;Оказание услуг по охране административного здания Министерства транспорта Российской Федерации в 2015 году;Оказание услуг по охране административного здания Министерства транспорта Российской Федерации в 2015 году;Комплекс услуг;1;8 000,00;80 / 2400;12.2014г.;12.2015г.;Открытый конкурс;-
10304082480019200000;72.50;7250000;23;Оказание услуг по обслуживанию системы IP-телефонии;Оказание услуг по обслуживанию системы IP-телефонии;Комплекс услуг;1;700;7 / 210;07.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;72.60;7260000;24;Модернизация сайта Министерства;Модернизация сайта Министерства;Комплекс услуг;1;1 600,00;16 / 480;07.2014г.;08.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;25;Поставка средств вычислительной техники;4 сервера;Комплект;1;3 000,00;30 / 900;07.2014г.;08.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;72.20;7220000;26;Закупка лицензий для обеспечения комплексной антивирусной безопасности программно-аппаратного комплекса Министерства транспорта Российской Федерации;Закупка лицензий для обеспечения комплексной антивирусной безопасности программно-аппаратного комплекса Министерства транспорта Российской Федерации;Комплект;1;1 563,82;15,6381666666667 / 469,145000000001;07.2014г.;09.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;27;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;3 000,00;30 / 900;06.2014г.;08.2014г.;Открытый аукцион в электронной форме;-
10304082480019200000;30.01.;3000000;28;Поставка запасных частей для оргтехники;Поставка оригинальных запасных частей для оргтехники;Комплект;1;600;6 / 180;07.2014г.;09.2014г.;Открытый аукцион в электронной форме;-
1030402480019240000;45.21.10;4529000;29;Выполнение работ ремонту зданий;Текущий ремонт помещений в здании по адресу: ул. Старая Басманная, д. 11/2, стр. 1;Комплекс работ;1;2 317,97;23,1797 / 695,391;07.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;30;Выполнение работ ремонту зданий;Ремонт кровли в здании по адресу: ул. Рождественка, д. 1, стр. 1;Комплекс работ;1;14 958,00;149,58 / 4487,4;07.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;31;Выполнение работ ремонту зданий;Противопожарные мероприятия;Комплекс работ;1;9 600,00;96 / 2880;07.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;32;Выполнение работ по установке приборов учета электроэнергии;Выполнение работ по установке приборов учета электроэнергии;Комплекс работ;1;194,34;0 / 19,434;07.2014г.;10.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;33;Выполнение работ по текущему ремонту системы охлаждения;Выполнение работ по текущему ремонту системы охлаждения;Комплекс работ;1;455,85;4,5585255 / 136,755765;08.2014г.;08.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;22.13;5200180;34;Подписка и доставка периодических изданий на второе полугодие 2014 года ;Подписка и доставка периодических изданий на второе полугодие 2014 года ;Комплекс услуг;1;493,98;4,9398 / 148,194;06.2014г.;12.2014г.;Запрос котировок;-
10304082480019200000;22.13;5200180;35;Подписка и доставка периодических изданий на первое полугодие 2015 года ;на подписку и доставку периодических изданий на второе полугодие 2015 года ;Комплекс услуг;1;419,22;4,1922 / 125,766;12.2014г.;06.2015г.;Запрос котировок;-
10304082480019200000;45.21.10;4529000;36;Установка системы видеонаблюдения и контроля доступа;Установка системы видеонаблюдения и контроля доступа;Комплекс работ;1;7 376,80;73,768 / 2213,04;08.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;92.51;9231020;37;Услуги по экспертизе ценности архивных документов;Услуги по экспертизе ценности архивных документов;Комплекс услуг;1;437;4,37 / 131,1;08.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;37217;9414020;38;Оказание услуг по организации экспозиции Минтранса России на 31-й Международной выставке транспорта и логистики «СИТЛ», проходящей 1-4 апреля 2014 года в г. Париж (Франция) ;Оказание услуг по организации экспозиции Минтранса России на 31-й Международной выставке транспорта и логистики «СИТЛ», проходящей 1-4 апреля 2014 года в г. Париж (Франция) ;Комплекс услуг;1;10 000,00;100 / 3000;02.2014г.;12.2014г.;Открытый конкурс;-
10304082480019200000;37217;9414020;39;Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на Международной выставке транспорта и логистики «Транспорт Логистик Чайна-2014», проходящей 17-19 июня 2014 года в г. Шанхай (Китай);Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на Международной выставке транспорта и логистики «Транспорт Логистик Чайна-2014», проходящей 17-19 июня 2014 года в г. Шанхай (Китай);Комплекс услуг;1;10 000,00;100 / 3000;05.2014г.;12.2014г.;Открытый конкурс;-
10304082480019200000;55.5;5520010;40;Организация питания иностранных делегаций;Организация питания иностранных делегаций;Комплекс услуг;1;100;-;11.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;41;Приобретение наград;Приобретение наград;Комплект;1;1 900,00;19 / 570;08.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;42;Приобретение климатического оборудования;Приобретение климатического оборудования;Комплект;1;54,1;-;07.2014г.;08.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;43;Приобретение ковродержателей;Приобретение ковродержателей;Комплект;1;291,57;2,9157 / 87,471;07.2014г.;08.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;44;Приобретение оргтехники;Приобретение оргтехники;Комплект;1;99,78;-;07.2014г.;07.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;17.54.3;1721780;45;Приобретение основных средст;Приобретение основных средст;Комплект;1;18,68;-;07.2014г.;08.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;46;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;962,74;9,6274 / 288,822;08.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;47;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;494,82;4,9482 / 148,446;07.2014г.;09.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;48;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;64,2;-;07.2014г.;08.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;49;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;168,8;1,688 / 50,64;07.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;50;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;20;-;06.2014г.;07.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;51;Приобретение питьевой воды;Приобретение питьевой воды;Комплект;1;99,87;-;06.2014г.;11.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;52;Приобретение питьевой воды;Приобретение питьевой воды;Комплект;1;99,87;-;11.2014г.;05.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;42359;2109311;53;Приобретение бумаги;Приобретение бумаги;Комплект;1;1 557,60;15,576 / 467,28;08.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
103040824Б2064244226;74.84;9214020;54; Оказание услуг по проведению мероприятий Министерства транспорта Российской Федерации в рамках «Транспортной недели – 2014»; Оказание услуг по проведению мероприятий Министерства транспорта Российской Федерации в рамках «Транспортной недели – 2014»;Комплекс услуг;1;18 000,00;180 / 5400;08.2014г.;12.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
103040824Б2064244226;74.84;9214020;55;Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на Международном транспортном форуме, проходящем 21 - 23 мая 2014 г. в г. Лейпциг (Германия);Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на Международном транспортном форуме, проходящем 21 - 23 мая 2014 г. в г. Лейпциг (Германия);Комплекс услуг;1;5 651,30;56,513 / 1695,39;03.2014г.;12.2014г.;Открытый конкурс;-
103040824Б2064244226;74.84;9214020;56;"Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на выставке ""Innotrans-2014"", проходящей 23-26 сентября 2014 года в г.Берлин (Германия)";"Оказание услуг по организации экспозиции Министерства транспорта Российской Федерации на выставке ""Innotrans-2014"", проходящей 23-26 сентября 2014 года в г.Берлин (Германия)";Комплекс услуг;1;8 000,00;80 / 2400;08.2014г.;11.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
103040824Б2064244226;37217;9414020;57;Оказание услуг по подготовке и размещению информационно-аналитических материалов по информированию населения Российской Федерации, органов государственной власти, транспортных организаций о ходе и результатах выполнения Федеральной целевой программы «Развитие транспортной системы России (2010 – 2015 годы)» в специальном приложении к периодическому печатному средству массовой информации;Оказание услуг по подготовке и размещению информационно-аналитических материалов по информированию населения Российской Федерации, органов государственной власти, транспортных организаций о ходе и результатах выполнения Федеральной целевой программы «Развитие транспортной системы России (2010 – 2015 годы)» в специальном приложении к периодическому печатному средству массовой информации;Комплекс услуг;1;5 000,00;50 / 1500;06.2014г.;12.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
103040824Б2064244310;45.21.1;4520080;58;Реконструктивные работы в здании по адресу: ул. Рождественка, д. 1, стр. 1;Реконструктивные работы в здании по адресу: ул. Рождественка, д. 1, стр. 1;Комплекс услуг;1;49 999,06;499,9906 / 14999,718;09.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10307052482040200000;80.30.3;8040020;59;Профессиональная переподготовка, повышение квалификации;Профессиональная переподготовка, повышение квалификации;Комплекс услуг;1;134,4;1,344 / 40,32;05.2014г.;06.2014г.;Запрос котировок;-
10307052482040200000;80.30.3;8040020;60;Профессиональная переподготовка, повышение квалификации;Профессиональная переподготовка, повышение квалификации;Комплекс услуг;1;471,3;4,713 / 141,39;06.2014г.;12.2014г.;Запрос котировок;-
10304082480019200000;74.60;7492070;61;Выполнение работ по обследованию объектов информатизации Министерства транспорта Российской Федерации в 2014 году;Выполнение работ по обследованию объектов информатизации Министерства транспорта Российской Федерации в 2014 году;Комплекс услуг;1;562,48;5,6248 / 168,744;06.2014г.;08.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;74.60;7492070;62;Выполнение работ по комплексной подготовке и аттестации объектов информатизации Министерства транспорта Российской Федерации в 2014 году;Выполнение работ по комплексной подготовке и аттестации объектов информатизации Министерства транспорта Российской Федерации в 2014 году;Комплекс услуг;1;757,52;7,5752 / 227,256;08.2014г.;10.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;63;Поставка оборудования для создания серверной инфраструктуры;2 коммутатора;Комплект;1;2 505,66;25,056607 / 751,69821;07.2014г.;08.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;64;Выполнение работ ремонту зданий;Текущий ремонт помещений в здании по адресу: ул. Старая Басманная, д. 11/2, стр. 1;Комплекс работ;1;1 862,91;18,6291 / 558,873;07.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
1030408248001920000000000000000000000000;45.33;2919020;65;Приобретение климатического оборудования;Приобретение климатического оборудования;Комплект;1;510,88;5,10877 / 153,2631;08.2014г.;09.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;36.1;3610000;66;Приобретение мебели ;Для помещений расположенных по адресу: ул. Старая Басманная, д. 11/2, стр. 1 ;Комплект;1;4 852,24;48,5224092 / 1455,672276;08.2014г.;09.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;67;Приобретение средств вычислительной техники;7 планшетов;Комплект;1;144,03;0 / 14,402967;08.2014г.;09.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;28.75.27;3690000;68;Приобретение офисных табличек;Приобретение офисных табличек;Комплект;1;99,32;-;08.2014г.;09.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;25.24.2;2500000;69;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;44,75;-;08.2014г.;09.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;70;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;21,08;-;09.2014г.;09.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;71;Выполнение работ ремонту зданий;Текущий ремонт помещений в здании по адресу: ул. Старая Басманная, д. 11/2, стр. 1;Комплекс работ;1;99,26;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;72;Выполнение работ ремонту зданий;Текущий ремонт помещений в здании по адресу: ул. Старая Басманная, д. 11/2, стр. 1;Комплекс работ;1;282,85;2,8285 / 84,855;09.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;72.60;7260000;73;Закупка ПО ViPNet Клиент (КС1);Закупка ПО ViPNet Клиент (КС1);Комплект;1;43,73;-;09.2014г.;09.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;74;Текущий ремонт лифтов;Текущий ремонт лифтов;Комплекс работ;1;1 232,12;12,3212 / 369,636;09.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;75;Оказание услуг по техническому обслуживанию автоматических установок водяного пожаротушения, газового пожаротушения, дымоудаления административного здания Министерства транспорта Российской Федерации в 2014 году;Оказание услуг по техническому обслуживанию автоматических установок водяного пожаротушения, газового пожаротушения, дымоудаления административного здания Министерства транспорта Российской Федерации в 2014 году;Комплекс услуг;1;268,04;2,68044 / 80,4132;09.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;77;Приобретение бытовой техники;Приобретение бытовой техники;Комплект;1;900;9 / 270;10.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;78;Приобретение копировально-множительной техники;Приобретение копировально-множительной техники;Комплект;1;1 352,80;13,528 / 405,84;10.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;79;Приобретение оборудования для организации беспроводной сети передачи данных;Приобретение оборудования для организации беспроводной сети передачи данных;Комплект;1;98,52;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;80;Приобретение оборудования для организации беспроводной сети передачи данных;Приобретение оборудования для организации беспроводной сети передачи данных;Комплект;1;98,52;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;80;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;2 200,00;22 / 660;09.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;81;Приобретение средств вычислительной техники;Приобретение средств вычислительной техники;Комплект;1;500;5 / 150;09.2014г.;10.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;82;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;111,12;1,1112 / 33,336;09.2014г.;10.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;33.50.1;3330000;83;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;200;фев.60;09.2014г.;10.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;32.1;3222513;84;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;19,49;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;85;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;10,38;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;86;"Приобретение аппаратно-програмного комплекса шифрования ""Континет""";Приобретение средств вычислительной техники;Комплект;1;160;1,6 / 48;09.2014г.;11.2014г.;Запрос котировок;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;87;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;4,2;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;88;Приобретение электронных устройств;Приобретение электронных устройств;Комплект;1;50;-;10.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;89;Выполнение работ ремонту зданий;Текущий ремонт помещений в здании по адресу: ул. Старая Басманная, д. 11/2, стр. 1;Комплекс работ;1;100;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;90;Приобретение картографической продукции;Приобретение картографической продукции;Комплект;1;19,8;-;09.2014г.;10.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;37217;9414020;91;Оказание услуг по публикации в печатном издании нормативно-правовых актов Министерства транспорта Российской Федерации, требующих оперативного доведения до сведения заинтересованных лиц ;Оказание услуг по публикации в печатном издании нормативно-правовых актов Министерства транспорта Российской Федерации, требующих оперативного доведения до сведения заинтересованных лиц ;Комплекс услуг;1;1 032,26;10,32256 / 309,6768;10.2014г.;12.2015г.;Открытый конкурс;-
